collection_date,advance_days,mean_stratum_index,mean_movement_pct,route_count,lead_time_weight,contribution_to_national_index
2026-09-04,1,,,20,0.2,
2026-09-04,7,,,20,0.2,
2026-09-04,15,,,20,0.2,
2026-09-04,30,,,20,0.2,
2026-09-04,45,,,20,0.2,
2026-09-05,1,139.4882206685268,39.488220668526736,20,0.2,7.897644133705348
2026-09-05,7,89.4567077238415,-10.543292276158496,20,0.2,-2.108658455231699
2026-09-05,15,110.35688839563537,10.35688839563538,20,0.2,2.071377679127076
2026-09-05,30,89.28220221705189,-10.71779778294811,20,0.2,-2.143559556589622
2026-09-05,45,99.62457507737146,-0.37542492262852534,20,0.2,-0.07508498452570507
2026-09-06,1,86.49578672225991,-13.504213277740078,20,0.2,-2.7008426555480156
2026-09-06,7,80.03493813621024,-19.965061863789757,20,0.2,-3.9930123727579514
2026-09-06,15,80.04632023471248,-19.953679765287504,20,0.2,-3.990735953057501
2026-09-06,30,86.22473993124285,-13.775260068757149,20,0.2,-2.75505201375143
2026-09-06,45,100.76808318688511,0.7680831868851214,20,0.2,0.1536166373770243
2026-09-07,1,74.36307715513593,-25.636922844864074,20,0.2,-5.127384568972815
2026-09-07,7,79.81724054358212,-20.18275945641787,20,0.2,-4.036551891283574
2026-09-07,15,79.75005780919884,-20.24994219080118,20,0.2,-4.049988438160236
2026-09-07,30,83.52576423439952,-16.47423576560047,20,0.2,-3.294847153120094
2026-09-07,45,79.40142386282778,-20.598576137172216,20,0.2,-4.119715227434443
2026-09-08,1,103.70051311778718,3.7005131177871817,20,0.2,0.7401026235574364
2026-09-08,7,101.64372261045389,1.643722610453878,20,0.2,0.32874452209077565
2026-09-08,15,106.2980842770838,6.298084277083831,20,0.2,1.2596168554167662
2026-09-08,30,102.87419724249432,2.8741972424943185,20,0.2,0.5748394484988637
2026-09-08,45,102.8075055031763,2.8075055031763014,20,0.2,0.5615011006352603
2026-09-09,1,101.04711646067732,1.0471164606773016,20,0.2,0.20942329213546032
2026-09-09,7,100.3891172521301,0.38911725213012005,20,0.2,0.07782345042602401
2026-09-09,15,99.4901769269942,-0.5098230730057907,20,0.2,-0.10196461460115813
2026-09-09,30,101.37360784382545,1.3736078438254538,20,0.2,0.27472156876509074
2026-09-09,45,102.19877213065804,2.1987721306580426,20,0.2,0.43975442613160853
2026-09-10,1,115.03640082752979,15.03640082752979,20,0.2,3.007280165505958
2026-09-10,7,106.60837131025407,6.608371310254057,20,0.2,1.3216742620508115
2026-09-10,15,107.98299622761267,7.982996227612674,20,0.2,1.5965992455225348
2026-09-10,30,106.04608960321438,6.046089603214412,20,0.2,1.2092179206428826
2026-09-10,45,104.76861257621972,4.768612576219724,20,0.2,0.9537225152439448
2026-09-11,1,91.88068117915574,-8.119318820844256,20,0.2,-1.6238637641688514
2026-09-11,7,101.96402362782803,1.9640236278280412,20,0.2,0.39280472556560825
2026-09-11,15,98.36267998960611,-1.6373200103938927,20,0.2,-0.32746400207877857
2026-09-11,30,99.8949323488973,-0.10506765110267224,20,0.2,-0.02101353022053445
2026-09-11,45,98.1131447148417,-1.886855285158319,20,0.2,-0.3773710570316638
2026-09-12,1,91.02453970941448,-8.975460290585517,20,0.2,-1.7950920581171035
2026-09-12,7,95.6065166139505,-4.39348338604951,20,0.2,-0.8786966772099021
2026-09-12,15,97.22431858287166,-2.7756814171283395,20,0.2,-0.5551362834256679
2026-09-12,30,95.5087497363888,-4.491250263611207,20,0.2,-0.8982500527222413
2026-09-12,45,95.41761586459616,-4.582384135403842,20,0.2,-0.9164768270807685
2026-09-13,1,99.91355179239103,-0.08644820760896721,20,0.2,-0.017289641521793443
2026-09-13,7,101.77134351124039,1.7713435112404028,20,0.2,0.3542687022480806
2026-09-13,15,98.25243161025105,-1.747568389748949,20,0.2,-0.3495136779497898
2026-09-13,30,98.87926470775756,-1.1207352922424292,20,0.2,-0.22414705844848584
2026-09-13,45,100.80568773617267,0.8056877361726578,20,0.2,0.16113754723453155
2026-09-14,1,104.03866448144638,4.038664481446375,20,0.2,0.807732896289275
2026-09-14,7,97.71795032489202,-2.2820496751079844,20,0.2,-0.4564099350215969
2026-09-14,15,100.23821938323808,0.238219383238075,20,0.2,0.047643876647615005
2026-09-14,30,104.29518465510012,4.295184655100115,20,0.2,0.8590369310200231
2026-09-14,45,101.38743628800691,1.38743628800691,20,0.2,0.277487257601382
2026-09-15,1,98.88138381400286,-1.1186161859971406,20,0.2,-0.22372323719942813
2026-09-15,7,98.93567968471281,-1.0643203152871763,20,0.2,-0.21286406305743527
2026-09-15,15,105.02966397867608,5.0296639786760835,20,0.2,1.0059327957352167
2026-09-15,30,101.83239213462382,1.8323921346238166,20,0.2,0.36647842692476335
2026-09-15,45,102.39153433984946,2.391534339849443,20,0.2,0.4783068679698886
2026-09-16,1,109.73739534702561,9.737395347025625,20,0.2,1.9474790694051252
2026-09-16,7,106.58324432869547,6.583244328695471,20,0.2,1.3166488657390945
2026-09-16,15,105.73285370561636,5.732853705616392,20,0.2,1.1465707411232786
2026-09-16,30,114.66981069614295,14.66981069614296,20,0.2,2.9339621392285924
2026-09-16,45,106.50318939420697,6.503189394206942,20,0.2,1.3006378788413884
2026-09-17,1,162.6112797402589,62.61127974025891,20,0.2,12.522255948051782
2026-09-17,7,137.8368725858861,37.83687258588614,20,0.2,7.567374517177228
2026-09-17,15,135.4172086831731,35.41720868317307,20,0.2,7.083441736634615
2026-09-17,30,151.56793246571505,51.567932465715074,20,0.2,10.313586493143015
2026-09-17,45,141.53475756294756,41.53475756294759,20,0.2,8.306951512589519
2026-09-18,1,97.13986389198355,-2.8601361080164622,20,0.2,-0.5720272216032924
2026-09-18,7,110.67150552692529,10.671505526925301,20,0.2,2.1343011053850605
2026-09-18,15,97.06073727595738,-2.939262724042621,20,0.2,-0.5878525448085242
