collection_date,first_observation_index,calendar_month_index,absolute_difference,relative_difference_pct
2026-07-01,99.99999999999997,100.64485368944928,0.644853689449306,0.6448536894493062
2026-07-02,101.40242159901103,101.79748941390369,0.39506781489265563,0.3896039252937414
2026-07-03,103.7370100593353,103.93498384241823,0.19797378308292934,0.19084199840509444
2026-07-04,104.24856801050676,104.37138429176339,0.12281628125663246,0.11781100076526169
2026-07-05,99.3556579770094,99.55989145794805,0.20423348093865457,0.205557977368449
2026-07-06,97.95617857717832,98.22077729657204,0.2645987193937174,0.2701194791763377
2026-07-07,97.79360146683571,98.04930669643932,0.2557052296036062,0.26147439686053725
2026-07-08,99.44993685203886,99.95091029811071,0.5009734460718533,0.5037443581459476
2026-07-09,102.36518586750933,102.84695382745565,0.4817679599463247,0.4706365312225137
2026-07-10,103.55570025916538,103.75214678220382,0.19644652303844623,0.18970131296182258
2026-07-11,104.48625546130143,104.60956902036587,0.1233135590644423,0.11801892844185036
2026-07-12,100.18565421483618,100.44542952964552,0.259775314809346,0.259293924709309
2026-07-13,96.63169025177692,96.88215246658761,0.2504622148106961,0.25919262527449216
2026-07-14,97.54097698846381,97.7889917098978,0.2480147214339894,0.2542672106547817
2026-07-15,99.52075711521063,99.96486425461042,0.4441071393997902,0.446245740359137
2026-07-16,101.15407575942126,101.59578055365832,0.44170479423705444,0.4366653453367301
2026-07-17,103.20374516165589,103.3599148742938,0.15616971263791868,0.1513217494125801
2026-07-18,104.27996028104819,104.41089272737452,0.1309324463263266,0.1255585886046048
2026-07-19,99.45988558685522,99.72464787562208,0.26476228876686037,0.2662000737328937
2026-07-20,98.65700735009322,98.8906742114781,0.2336668613848758,0.23684770870424643
2026-07-21,98.82533326175893,99.01646813171165,0.19113486995271955,0.19340675477052033
2026-07-22,99.1074734295513,99.4935059398849,0.3860325103335924,0.38950898148765384
2026-07-23,101.00130891007274,101.48506461334158,0.4837557032688409,0.478959835757729
2026-07-24,103.92048706017124,104.14082287751742,0.22033581734618224,0.2120234648425051
2026-07-25,104.93539837947694,105.09129358515175,0.15589520567480974,0.14856302837965824
2026-07-26,99.9879776609246,100.13322375292014,0.1452460919955456,0.14526355607280966
2026-07-27,98.23084409208694,98.47499600643621,0.24415191434927408,0.2485491360741976
2026-07-28,98.5187727989642,98.77279654805935,0.2540237490951398,0.25784298959295454
2026-07-29,100.45148474390977,100.95733954858704,0.50585480467727,0.5035812123304023
2026-07-30,100.67004702797371,101.114692424868,0.4446453968942876,0.44168589369063443
2026-07-31,102.90486133977008,103.0350470042883,0.13018566451822267,0.1265107039874211
2026-08-01,103.79797620511616,103.9390572767935,0.1410810716773483,0.1359189040435207
2026-08-02,100.15656100328293,100.34649472758277,0.18993372429983424,0.189636826980919
2026-08-03,97.78560559421223,98.00302184609538,0.21741625188315084,0.222339730435764
2026-08-04,98.06238680121122,98.33640594458961,0.2740191433783963,0.2794334834352734
2026-08-05,99.24989526923687,99.64489603699722,0.39500076776035087,0.3979860801755262
2026-08-06,101.05697076602716,101.55944749090665,0.5024767248794859,0.49722124171211163
2026-08-07,104.15758101231964,104.30972004151972,0.15213902920008593,0.1460662082600508
2026-08-08,103.16540118829612,103.22488914676796,0.0594879584718484,0.05766270259858901
2026-08-09,99.35590601284306,99.57796739898075,0.2220613861376819,0.2235009422680696
2026-08-10,98.40993449274234,98.66678599534487,0.25685150260252954,0.26100159900164566
2026-08-11,97.80870363841984,98.08850585049953,0.27980221207968725,0.2860708727048083
2026-08-12,99.47819599035104,99.94088993627464,0.46269394592360413,0.46512096577272416
2026-08-13,101.471150501951,101.90077425886099,0.4296237569099901,0.42339497954320493
2026-08-14,102.51112750642179,102.70940836106487,0.19828085464308742,0.19342373795534162
2026-08-15,103.8186389323163,104.01366577516126,0.1950268428449533,0.18785339978508042
2026-08-16,100.06710418946463,100.27595410123307,0.20884991176843926,0.20870985870941952
2026-08-17,96.87660437873791,97.11587828535464,0.23927390661673087,0.24698832927844214
2026-08-18,98.49476698335843,98.74560919517253,0.2508422118141027,0.25467567414671355
2026-08-19,98.494820421691,98.89169977977868,0.3968793580876735,0.4029443948306045
2026-08-20,100.94879009211307,101.40481642804916,0.45602633593608743,0.45174026902152625
2026-08-21,103.73032634167824,103.85505406048337,0.12472771880513278,0.12024228902383961
2026-08-22,104.71467294967788,104.8318205892645,0.11714763958661933,0.11187318480468951
2026-08-23,100.81532982861415,101.02701745408503,0.21168762547087283,0.20997563151431567
2026-08-24,97.96107003141647,98.21224261950015,0.2511725880836764,0.25640041294273774
2026-08-25,98.11433211198748,98.41975925801322,0.3054271460257354,0.3112971769273438
2026-08-26,99.64449782064665,100.0055856855553,0.3610878649086544,0.3623761199123991
2026-08-27,101.54837392320023,101.98262164254564,0.4342477193454073,0.42762646270813104
2026-08-28,103.91814810938088,104.14654586533418,0.2283977559532957,0.21978620684511394
2026-08-29,103.35361244066135,103.54562795649399,0.19201551583263665,0.18578500673392423
2026-08-30,100.0929265856116,100.35329112570875,0.26036454009715726,0.26012281684506644
2026-08-31,97.21339763598071,97.43056024999817,0.21716261401745385,0.22338753638734815
2026-09-01,96.10100291749335,96.33270992118577,0.2317070036924207,0.24110778936547694
2026-09-02,99.39758747832033,99.8188065604088,0.42121908208847003,0.42377193730214263
2026-09-03,100.3460136153814,100.781842201241,0.4358285858596105,0.4343257595962986
