collection_date,route,advance_days,representative_fare,first_base_fare,first_route_index,calendar_base_fare,calendar_route_index,index_difference
2026-07-02,BLR_HYD,1,7537.93,7969.66,94.58283038423221,7613.44,99.00820128614662,4.425370901914405
2026-07-02,BOM_BLR,1,10258.66,10536.8,97.36029914205452,10337.22,99.24002778309836,1.8797286410438403
2026-07-02,BOM_DEL,1,11621.74,11787.115,98.5969849280337,11827.42,98.26099013986143,-0.3359947881722718
2026-07-02,CCU_DEL,1,12603.830000000002,12308.66,102.39806770192695,12623.55,99.84378403856286,-2.554283663364089
2026-07-02,DEL_BLR,1,12767.26,13136.69,97.18779997092113,13157.8,97.03187462949734,-0.15592534142379577
2026-07-02,DEL_BOM,1,11466.14,11601.5,98.83325432056199,11927.8,96.12954610238266,-2.7037082181793295
2026-07-02,DEL_CCU,1,12325.0,11537.265,106.82774470379246,12325.0,100.0,-6.827744703792462
2026-07-02,HYD_DEL,1,10988.59,10507.67,104.57684719828468,10728.94,102.42008996228891,-2.1567572359957694
2026-07-02,MAA_DEL,1,13172.075,14184.83,92.86029511809448,14184.83,92.86029511809448,0.0
2026-07-02,BLR_DEL,7,10200.73,10173.86,100.26410821458127,10508.55,97.0707661856298,-3.193342028951477
2026-07-02,BLR_HYD,7,5772.16,5977.64,96.5625230023889,6172.19,93.51883205150845,-3.043690950880446
2026-07-02,BOM_BLR,7,7961.4400000000005,7932.34,100.366852656341,8250.02,96.50206908589313,-3.8647835704478695
2026-07-02,BOM_DEL,7,8981.26,9014.355,99.63286336071744,9447.32,95.06674908863043,-4.566114272087006
2026-07-02,CCU_DEL,7,9426.29,10115.5,93.18659482971678,9879.91,95.40866262951789,2.22206779980111
2026-07-02,DEL_BLR,7,10598.965,9534.44,111.16505007111061,10578.72,100.19137475989535,-10.97367531121526
2026-07-02,DEL_BOM,7,9462.92,9592.17,98.6525468168308,9533.93,99.25518647609118,0.602639659260376
2026-07-02,DEL_CCU,7,9631.45,10379.28,92.79497229094889,9891.904999999999,97.36698846177761,4.572016170828718
2026-07-02,HYD_DEL,7,8805.58,8597.87,102.41583089765254,8497.07,103.6307809633203,1.2149500656677645
2026-07-02,MAA_DEL,7,10709.08,11078.26,96.6675272109519,11078.26,96.6675272109519,0.0
2026-07-02,BLR_DEL,15,8416.46,8999.96,93.51663785172379,8999.96,93.51663785172379,0.0
2026-07-02,BLR_HYD,15,5278.875,5421.8,97.36388284333616,5185.2,101.80658412404537,4.442701280709215
2026-07-02,BOM_BLR,15,7072.13,6400.97,110.48528582386732,7089.44,99.75583402920401,-10.729451794663305
2026-07-02,BOM_DEL,15,8112.215,7879.1,102.95865009963066,8033.74,100.9768177710506,-1.9818323285800545
2026-07-02,CCU_DEL,15,8234.29,7770.5,105.96859918924137,8355.255000000001,98.55222850768767,-7.416370681553701
2026-07-02,DEL_BLR,15,8454.61,8958.545,94.37481198118668,8936.68,94.60571487398005,0.23090289279336673
2026-07-02,DEL_BOM,15,7997.63,7519.805,106.3542206214124,7972.299999999999,100.31772512323923,-6.036495498173167
2026-07-02,DEL_CCU,15,8252.41,8472.825,97.3985654135427,8531.59,96.72769085246712,-0.6708745610755784
2026-07-02,HYD_DEL,15,7434.105,7450.45,99.78061727815098,7321.14,101.54299740204394,1.762380123892953
2026-07-02,MAA_DEL,15,9255.14,9493.135,97.49297782028802,9318.744999999999,99.3174510086927,1.8244731884046814
2026-07-02,BLR_DEL,30,8449.904999999999,7815.85,108.11242539199188,7815.85,108.11242539199188,0.0
2026-07-02,BLR_HYD,30,5028.895,4301.545,116.90904082137929,4560.139999999999,110.27939931668766,-6.629641504691634
2026-07-02,BOM_BLR,30,6436.65,6115.514999999999,105.25115219241552,6115.514999999999,105.25115219241552,0.0
2026-07-02,BOM_DEL,30,7888.57,6848.37,115.18901578039737,6988.25,112.88333989196151,-2.3056758884358572
2026-07-02,CCU_DEL,30,8033.5650000000005,6733.35,119.3100759651585,7502.62,107.07679450645242,-12.233281458706088
2026-07-02,DEL_BLR,30,8364.27,7623.15,109.72196532929301,7819.21,106.97078093566998,-2.751184393623035
2026-07-02,DEL_BOM,30,7122.715,7151.67,99.59512952918689,7062.97,100.84589060975766,1.2507610805707685
2026-07-02,DEL_CCU,30,8180.05,7713.21,106.05247361345019,7450.09,109.79800244023899,3.7455288267887994
